ai_usage_id,department_id,ai_tool_id,integration_date
1,1,2,"2023-06-15"
2,2,1,"2023-03-10"
3,3,3,"2024-01-20"
4,4,2,"2023-09-05"
5,5,1,"2023-04-18"
6,6,3,"2024-02-12"
7,7,1,"2024-05-22"
8,8,2,"2023-11-08"
9,9,4,"2024-03-15"
10,10,1,"2023-07-01"
11,11,4,"2024-01-10"
12,12,2,"2023-08-25"
13,13,2,"2023-10-12"
14,14,4,"2024-04-05"
15,15,3,"2024-06-17"
16,16,1,"2023-05-09"
17,17,1,"2024-02-28"
18,18,3,"2024-07-11"
19,19,4,"2023-12-04"
20,20,1,"2023-02-15"
21,21,2,"2024-03-21"
22,22,2,"2024-01-08"
23,23,1,"2024-05-14"
24,24,3,"2024-08-01"
25,25,2,"2023-11-19"
26,26,4,"2024-02-06"
27,27,1,"2024-06-10"
28,28,2,"2023-07-24"
29,29,3,"2024-04-16"
30,30,1,"2023-09-11"
31,31,1,"2024-01-29"
32,32,3,"2024-05-07"
33,33,2,"2023-10-03"
34,34,2,"2024-02-19"
35,35,1,"2023-12-11"
36,36,1,"2024-06-03"
37,37,3,"2024-03-12"
38,38,1,"2023-08-14"
39,39,2,"2024-01-17"
40,40,1,"2023-05-26"
41,41,4,"2023-11-27"
42,42,2,"2024-04-22"
43,43,2,"2023-06-30"
44,44,1,"2024-02-01"
45,45,3,"2024-07-08"
46,46,2,"2023-09-18"
47,47,1,"2024-03-04"
48,48,3,"2024-06-24"
49,49,4,"2023-10-23"
50,50,1,"2024-01-15"
51,51,2,"2024-05-01"
52,52,1,"2023-07-17"
53,53,2,"2024-02-26"
54,54,1,"2024-04-29"
55,55,3,"2023-12-18"
56,56,1,"2024-03-25"
57,57,2,"2023-08-07"
58,58,2,"2024-01-03"
59,59,1,"2024-05-20"
60,60,3,"2024-07-29"
