employee_id,department_id,role_id,start_time,end_time,end_reason
1,1,1,"2020-03-15","2024-05-31","Changed job"
2,1,13,"2021-06-01","2024-08-15","Changed job"
3,2,2,"2020-09-10","2025-02-28","Career change"
4,2,7,"2021-04-12","2024-06-30","AI automation"
5,3,10,"2019-11-08","2024-12-31","Resigned"
6,3,9,"2022-02-14","2025-01-31","Changed job"
7,4,1,"2020-02-03","2025-04-30","Career change"
8,4,15,"2021-07-19","2024-11-30","Career change"
9,5,6,"2021-04-11","2025-06-30","Changed job"
10,5,4,"2020-10-25","2025-03-31","Changed job"
11,6,10,"2020-08-17","2024-07-31","Redundancy"
12,6,9,"2021-05-03","2024-09-15","Resigned"
13,7,3,"2020-01-11","2025-03-31","Changed job"
14,7,7,"2021-05-23","2024-12-31","AI automation"
15,8,1,"2020-06-15","2025-05-31","Career change"
16,8,13,"2021-09-05","2025-02-28","Changed job"
17,9,4,"2020-04-12","2025-01-31","Changed job"
18,9,5,"2021-02-14","2024-08-31","Resigned"
19,10,6,"2019-11-02","2025-04-30","Changed job"
20,10,2,"2021-08-09","2024-10-31","Career change"
21,11,2,"2020-03-21","2025-06-30","Changed job"
22,11,7,"2020-07-13","2025-02-28","AI automation"
23,12,1,"2021-05-17","2024-09-30","Changed job"
24,12,14,"2022-01-03","2024-07-31","Changed job"
25,13,1,"2020-01-20","2025-03-31","Career change"
26,13,15,"2021-12-06","2025-05-31","Resigned"
27,14,4,"2020-06-13","2024-11-30","Changed job"
28,14,5,"2021-09-27","2025-07-31","Career change"
29,15,9,"2020-10-12","2025-02-28","Changed job"
30,15,10,"2021-01-31","2024-12-20","Redundancy"
31,16,2,"2020-02-22","2025-04-30","Changed job"
32,16,7,"2021-08-15","2024-08-31","AI automation"
33,17,11,"2020-04-06","2025-03-31","Career change"
34,17,9,"2021-11-15","2025-01-15","Changed job"
35,18,10,"2021-05-02","2025-06-30","Changed job"
36,18,9,"2020-09-28","2024-06-30","Career change"
37,19,4,"2020-06-07","2025-05-31","Resigned"
38,19,5,"2021-03-14","2024-09-30","Changed job"
39,20,6,"2020-12-01","2025-07-31","Career change"
40,20,2,"2021-07-26","2024-05-31","Changed job"
41,21,3,"2021-02-07","2025-03-31","Changed job"
42,21,7,"2020-05-18","2024-10-31","AI automation"
43,22,1,"2021-04-05","2025-06-30","Career change"
44,22,13,"2021-09-12","2025-03-15","Resigned"
45,23,7,"2020-08-24","2024-12-31","Changed job"
46,23,8,"2021-12-13","2024-11-30","AI automation"
47,24,9,"2021-06-20","2025-04-30","Changed job"
48,24,20,"2020-03-09","2024-04-30","Changed job"
49,25,1,"2021-01-25","2025-05-31","Career change"
50,25,14,"2021-07-04","2025-06-30","Career change"
51,26,6,"2020-10-19","2024-08-31","Changed job"
52,26,2,"2021-05-31","2025-02-28","Resigned"
53,27,3,"2021-01-10","2025-07-31","Changed job"
54,27,7,"2020-06-29","2024-09-30","AI automation"
55,28,1,"2021-09-06","2025-04-30","Career change"
56,28,13,"2021-04-18","2025-01-31","Changed job"
57,29,10,"2020-11-23","2025-05-31","Resigned"
58,29,9,"2021-08-16","2024-12-31","Redundancy"
59,30,2,"2021-03-07","2025-06-30","Changed job"
60,30,7,"2020-07-20","2024-07-31","Performance"
